fullname,shortname,category
OPTIMIZATION FOR ENGINEERING DESIGN,Auto/Eng,
QUALITY CONTROL AND RELIABILITY ENGINEERING,Auto/Eng,
ENGINEERING MANUFACTURING,Auto/Eng,
PRODUCT DEVELOPMENT AND COSTING,Auto/Eng,
MODERN MANUFACTURING PROCESSES,Auto/Eng,
COMPUTER INTEGRATED MANUFACTURING,Auto/Eng,
ROBOTICS AND ROBOT APPLICATIONS,Auto/Eng,
THEORY AND DESIGN OF JIGS AND FIXTURES,Auto/Eng,
NON-DESTRUCTIVE TESTING METHODS,Auto/Eng,
COMPOSITE MATERIALS AND STRUCTURES,Auto/Eng,
CAD/CAM TECHNOLOGY IN AUTOMOTIVE ENGINEERING,Auto/Eng,
AUTOMOTIVE ENGINEERING WELDING AND JOINING,Auto/Eng,
TECHNOLOGIES,Auto/Eng,
PRODUCT LIFE CYCLE MANAGEMENT AM-Engg,Auto/Eng,
,,
,,
,,
Mathematics 1,Food-Tech/Eng,
Introduction to Animal Agriculture,Food-Tech/Eng,
Agricultural Botany and Plant Physiology,Food-Tech/Eng,
Plant Microbiology,Food-Tech/Eng,
Introductory Food Science &Technology,Food-Tech/Eng,
Biochemistry 1,Food-Tech/Eng,
Introductory Micro-economics,Food-Tech/Eng,
Principles of Human Nutrition,Food-Tech/Eng,
Introductory Food Science,Food-Tech/Eng,
Introduction to Computer Application,Food-Tech/Eng,
Principles of Agriculture and introductory,Food-Tech/Eng,
Introduction to Entomology & Nematology,Food-Tech/Eng,
Introduction to Statistics,Food-Tech/Eng,
Biochemistry II,Food-Tech/Eng,
FSFood Chemistry 1,Food-Tech/Eng,
Food Microbiology 1,Food-Tech/Eng,
Physical Properties of Food,Food-Tech/Eng,
Introductory Food Science and human Nutrition,Food-Tech/Eng,
Introductory Macro-economics,Food-Tech/Eng,
Agricultural Extension/Educ Practical Skills,Food-Tech/Eng,
Food Technology & Nutritional Practical Skills 3,Food-Tech/Eng,
Food Technology and Nutrition,Food-Tech/Eng,
Molecular Biology,Food-Tech/Eng,
Animal Production,Food-Tech/Eng,
Crop production Practical Skills,Food-Tech/Eng,
Mathematics 2,Food-Tech/Eng,
,,
Basic Electrical Tech. & Mechanics,Food-Tech/Eng,
Fish Farming Biometrics,Food-Tech/Eng,
Introduction to Agric. Extension,Food-Tech/Eng,
Food Engineering I,Food-Tech/Eng,
Food Microbiology II,Food-Tech/Eng,
Postharvest Technology,Food-Tech/Eng,
Production Economics,Food-Tech/Eng,
Introductory Livestock Management,Food-Tech/Eng,
Principles of Food Preservation,Food-Tech/Eng,
Food Processing and Preversation,Food-Tech/Eng,
Rural Sociology,Food-Tech/Eng,
Dietetics,Food-Tech/Eng,
Food Analysis I,Food-Tech/Eng,
Food Chemistry II,Food-Tech/Eng,
Research Methods,Food-Tech/Eng,
Sensory Evaluation,Food-Tech/Eng,
Industrial Training,Food-Tech/Eng,
,,
Poultry Nutrition and Management,Food-Tech/Eng,
Dairy Production Systems,Food-Tech/Eng,
Introduction to Communication and Ext. Methods,Food-Tech/Eng,
Food Engineering II,Food-Tech/Eng,
Poultry Management I,Food-Tech/Eng,
Food Analysis,Food-Tech/Eng,
Sanitation and Waste Management,Food-Tech/Eng,
Community Nutrition,Food-Tech/Eng,
Food Quality Assurance,Food-Tech/Eng,
Cereal Chemistry and Technology,Food-Tech/Eng,
Food Additives & Legislation,Food-Tech/Eng,
Food Fermentation,Food-Tech/Eng,
Sensory Evaluation,Food-Tech/Eng,
Agricultural Communication,Food-Tech/Eng,
Introduction to Communication & Ext. Methods,Food-Tech/Eng,
Post-harvest Technology,Food-Tech/Eng,
Packaging and Packaging Materials,Food-Tech/Eng,
Food Plant Economics & Product Marketing,Food-Tech/Eng,
Food Analysis,Food-Tech/Eng,
Sanitation & Waste Management,Food-Tech/Eng,
Food Production Development,Food-Tech/Eng,
Community Nutrition,Food-Tech/Eng,
Food Biotechnology,Food-Tech/Eng,
Food Quality Control and Assurance,Food-Tech/Eng,
Food Science for Engineers,Food-Tech/Eng,
Social Research Methods 1,Food-Tech/Eng,
Animal Feeds and Feeding,Food-Tech/Eng,
Visual Aids and Presentations,Food-Tech/Eng,
Pilot Plant Processing skills,Food-Tech/Eng,
Special Project,Food-Tech/Eng,
,,
Social Research Methods II,Food-Tech/Eng,
Fruits and Vegetable Processing Technology,Food-Tech/Eng,
Dairy Science and Technology,Food-Tech/Eng,
"Meat, Poultry & Fish Technology",Food-Tech/Eng,
Roots and Tuber Crops Technology,Food-Tech/Eng,
Food Product Development,Food-Tech/Eng,
Dietetics,Food-Tech/Eng,
Industrial Case Study,Food-Tech/Eng,
Intermediate Macro Economics,Food-Tech/Eng,
Poultry Management II,Food-Tech/Eng,
Programme Development & Evaluation II,Food-Tech/Eng,
Agricultural Communication,Food-Tech/Eng,
Fats and Oils Technology 3,Food-Tech/Eng,
Plantation and Estates Crop Technology,Food-Tech/Eng,
Food and Nutrition Security,Food-Tech/Eng,
Special Project Report,Food-Tech/Eng,
"Cereals, Legumes & Root Crop Technology",Food-Tech/Eng,
Child Nutrition and Development,Food-Tech/Eng,
Special Project Report,Food-Tech/Eng,
Land Use Policy and Law,Food-Tech/Eng,
Electives (At least one relevant course),Food-Tech/Eng,
Agribusiness Management,Food-Tech/Eng,
Agro-forestry,Food-Tech/Eng,
Agricultural Communication,Food-Tech/Eng,
Group Dynamics,Food-Tech/Eng,
,,
,,
,,
Computer Architecture,Hard-Comput/Arch CA,
High-Performance Programming with Multicore and GPUs,Hard-Comput/Arch HPPMG,
Introduction to Embedded Systems,Hard-Comput/Arch IES,
Advanced Digital Design with Verilog and FPGA,Hard-Comput/Arch ADDV,
Error-Control Codes,Hard-Comput/Arch ECC,
VLSI Principles and Applications,Hard-Comput/Arch VPA,
Modern Active Circuit Design,Hard-Comput/Arch MACD,
RF/Analog IC Design Fundamentals,Hard-Comput/Arch RF/AIDF,
Parallel Computer Architecture,Hard-Comput/Arch PCA,
Interconnection Networks for Multicomputers,Hard-Comput/Arch INM,
Theory of Computer Hardware Testing,Hard-Comput/Arch TCHT,
Fault-Tolerant Computing,Hard-Comput/Arch FTC,
Advanced Microprocessor Design,Hard-Comput/Arch AMD,
VLSI Graduate Design Project,Hard-Comput/Arch VGDP,
RF/Analog IC Design,Hard-Comput/Arch RF/AID,
,,
,,
,,
Stochastic Processes,Comput-Commu-Net SP,
Wireless Communications,Comput-Commu-Net WC,
Digital Communication,Comput-Commu-Net DC,
Cybersecurity,Comput-Commu-Net Cyber,
Optimization Theory and Methods,Comput-Commu-Net OTM,
Discrete Stochastic Models,Comput-Commu-Net DSM,
Computer Communication Networks,Comput-Commu-Net CCN,
Networking the Physical World,Comput-Commu-Net NPW,
Error-Control Codes,Comput-Commu-Net ECC,
Wireless Communications,Comput-Commu-Net WC1,
Advanced Optimization Theory and Methods,Comput-Commu-Net AOTM,
Queuing Systems,Comput-Commu-Net QS,
Advanced Coding Theory,Comput-Commu-Net ACT,
Discrete Event and Hybrid Systems,Comput-Commu-Net DEHS,
Randomized Network Algorithms,Comput-Commu-Net RNA,
Ad Hoc Networking and Computing,Comput-Commu-Net AHNC,
Interconnection Networks for Multicomputers,Comput-Commu-Net INM,
,,
,,
,,
Advanced Data Structures,Software ADS,
Software Systems Design Enterprise Client-Server Software Systems Design,Software SSD,
Cybersecurity,Software Cyber,
High-Performance Programming with Multicore and GPUs,Software HPPMG,
Introduction to Embedded Systems,Software IES,
Networking the Physical World,Software NPW,
Advanced Software for Computer Engineers,Software ASCE,
Information-Theoretical Design of Algorithms,Software ITDA,
,,
,,
,,
Advanced Data Structures,Cyber-Security ADS,
Cybersecurity,Cyber-Security Cyber,
Computer Communication Networks,Cyber-Security CCN,
Fundamentals of Cryptography,Cyber-Security FC,
Advanced Cryptography,Cyber-Security AC,
Computer Networks Security,Cyber-Security CNS,
,,
,,
,,
"Solid State, Microwave and Fiber Optics Lab",Electrical/Eng,
Circuit Analysis Laboratory,Electrical/Eng,
Digital Systems Laboratory,Electrical/Eng,
Electronic Circuits Laboratory,Electrical/Eng,
Signals and Systems Laboratory,Electrical/Eng,
Solid-State Devices and Materials,Electrical/Eng,
Circuit Analysis,Electrical/Eng,
Electronic Circuits,Electrical/Eng,
Electronic Circuit Design Laboratory,Electrical/Eng,
Electromagnetics,Electrical/Eng,
Classical Control Systems,Electrical/Eng,
Introduction to Communication Systems,Electrical/Eng,
Signals and Systems,Electrical/Eng,
Fundamentals of Computer Systems,Electrical/Eng,
History of Telecommunications: From the Telegraph to the Internet,Electrical/Eng,
Introduction to Genomic Information Science and Technology,Electrical/Eng,
Introduction to Semiconductor Devices,Electrical/Eng,
Analog Electronic Circuits,Electrical/Eng,
Communication Circuits,Electrical/Eng,
Digital VLSI Circuits,Electrical/Eng,
Computer Hardware Design,Electrical/Eng,
Wave Transmission and Fiber Optics,Electrical/Eng,
Classical Nonlinear Optics,Electrical/Eng,
Fundamentals of Photonics,Electrical/Eng,
Electromagnetic Devices and Energy Conversion,Electrical/Eng,
"Sensors, Actuators and Electromechanical Systems",Electrical/Eng,
Digital Control Systems,Electrical/Eng,
Communication Theory,Electrical/Eng,
Wireless Communications,Electrical/Eng,
Digital Signal ProcessingRandom Signals and Noise,Electrical/Eng,
Advanced Logic Design,Electrical/Eng,
Computer Architecture,Electrical/Eng,
Digital Systems Design,Electrical/Eng,
Digital Image Processing,Electrical/Eng,
Embedded Systems,Electrical/Eng,
Music Signal Processing,Electrical/Eng,
Advanced Projects in Electrical Engineering,Electrical/Eng,
Modeling and Performance Evaluation,Electrical/Eng,
Linear Systems Theory,Electrical/Eng,
Advanced Analog Integrated Circuits,Electrical/Eng,
Advanced Communication Circuits,Electrical/Eng,
Microwave Circuit Designs,Electrical/Eng,
Advanced Digital Electronic Circuits,Electrical/Eng,
"Principles of Semiconductor Physics, I",Electrical/Eng,
"Principles of Semiconductor Physics, II",Electrical/Eng,
Semiconductor Device Physics,Electrical/Eng,
Classical Electromagnetic Theory,Electrical/Eng,
Lightwave Devices,Electrical/Eng,
Lightwave Systems,Electrical/Eng,
Introduction to Control Theory,Electrical/Eng,
Modern Control Theory,Electrical/Eng,
Optimal Control Theory,Electrical/Eng,
Control of Nonlinear Dynamic Systems,Electrical/Eng,
Stochastic Models in Information Systems,Electrical/Eng,
"Communication Theory, I",Electrical/Eng,
"Communication Theory, II",Electrical/Eng,
Information Theory,Electrical/Eng,
Algebraic Coding Theory,Electrical/Eng,
"Computer Communications Networks, I",Electrical/Eng,
"Computer Communications Networks, II",Electrical/Eng,
Topics in Modeling and Analysis of Random Phenomena,Electrical/Eng,
Speech and Audio Processing and Recognition,Electrical/Eng,
Visual Information Systems,Electrical/Eng,
Advanced Digital Signal Processing,Electrical/Eng,
Topics in Signal Processing,Electrical/Eng,
Topics in Electrical and Computer Engineering,Electrical/Eng,
Device Nano-fabrication,Electrical/Eng,
"Wireless and Mobile Networking, I",Electrical/Eng,
"Wireless and Mobile Networking, II",Electrical/Eng,
Advanced Topics in Control Theory,Electrical/Eng,
,,
,,
,,
Mathematical Modelling and Simulation,Mech/Eng MMS,
CAx-Techniques in Automotive Engineering,Mech/Eng CTAE,
Power Train,Mech/Eng PT,
Vehicle Dynamics,Mech/Eng VD,
Automotive Electronics,Mech/Eng AE,
Group Project,Mech/Eng GP,
Seminar for Master's thesis,Mech/Eng SMT,
Automotive Control Engineering,Mech/Eng ACE,
Power Supply and Energy Distribution,Mech/Eng PSED,
Automotive Communication Systems,Mech/Eng ACS,
Development Methodologies for Automotive Systems,Mech/Eng DMAS,
Vehicle Crash Mechanics and Biomechanics,Mech/Eng VCMB,
Ated Safety and Assistance Systems,Mech/Eng ASAS,
Sensor Technology and Signal Processing,Mech/Eng STSP,
Testing and Simulation Methods for Vehicle,Mech/Eng TSMV,
Safety Systems,Mech/Eng SS,
